id,behavior
32,MB_LONG_GRASS
40,MB_LONG_GRASS_SOUTH_EDGE
43,MB_NON_ANIMATED_DOOR
164,MB_ROCK_CLIMB
165,MB_ROCK_CLIMB
166,MB_ROCK_CLIMB
283,MB_OCEAN_WATER
284,MB_OCEAN_WATER
285,MB_OCEAN_WATER
286,MB_OCEAN_WATER
287,MB_OCEAN_WATER
291,MB_OCEAN_WATER
292,MB_OCEAN_WATER
293,MB_OCEAN_WATER
294,MB_OCEAN_WATER
295,MB_OCEAN_WATER
299,MB_OCEAN_WATER
300,MB_OCEAN_WATER
301,MB_OCEAN_WATER
302,MB_OCEAN_WATER
303,MB_OCEAN_WATER
307,MB_OCEAN_WATER
308,MB_OCEAN_WATER
309,MB_OCEAN_WATER
310,MB_OCEAN_WATER
311,MB_OCEAN_WATER
313,MB_NON_ANIMATED_DOOR
315,MB_OCEAN_WATER
316,MB_OCEAN_WATER
317,MB_OCEAN_WATER
318,MB_OCEAN_WATER
319,MB_OCEAN_WATER
401,MB_EAST_ARROW_WARP
402,MB_WEST_ARROW_WARP
409,MB_EAST_ARROW_WARP
410,MB_WEST_ARROW_WARP
424,MB_SOUTH_ARROW_WARP
425,MB_SOUTH_ARROW_WARP
432,MB_NORTH_ARROW_WARP
433,MB_NORTH_ARROW_WARP
